Team,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT - MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST,Season Type,Season
NEW YORK LIBERTY,6,3,3,40.0,77.1,22.9,64.3,21.6,21.1,9.9,14.6,25.1,42.7,62.7,37.3,79.2,20.8,65.7,34.3,Playoffs,2001
CHARLOTTE STING,8,4,4,40.0,76.0,24.0,59.6,11.7,25.3,9.5,15.1,22.2,47.9,56.5,43.5,87.2,12.8,63.3,36.7,Playoffs,2001
SACRAMENTO MONARCHS,5,3,2,40.0,75.3,24.7,48.5,18.7,27.2,11.2,24.3,19.5,29.9,57.1,42.9,79.4,20.6,63.2,36.8,Playoffs,2001
MIAMI SOL,3,1,2,40.0,77.9,22.1,57.5,23.8,20.6,6.3,21.9,21.9,33.8,54.3,45.7,90.9,9.1,61.4,38.6,Playoffs,2001
UTAH STARZZ,2,0,2,40.0,82.7,17.3,65.6,15.3,4.6,12.2,29.8,13.0,50.4,53.5,46.5,100.0,0.0,55.6,44.4,Playoffs,2001
HOUSTON COMETS,2,0,2,40.0,70.0,30.0,61.5,27.4,23.1,5.1,15.4,15.4,34.2,44.4,55.6,77.8,22.2,51.1,48.9,Playoffs,2001
SEATTLE STORM,2,0,2,40.0,67.0,33.0,48.3,8.3,25.0,24.2,26.7,34.2,40.0,62.1,37.9,100.0,0.0,71.8,28.2,Playoffs,2002
WASHINGTON MYSTICS,5,3,2,40.0,75.5,24.5,61.0,22.2,22.2,10.3,16.8,23.9,38.7,64.5,35.5,96.2,3.8,70.7,29.3,Playoffs,2002
LOS ANGELES SPARKS,6,6,0,40.0,76.3,23.7,58.5,13.3,21.9,12.5,19.6,21.7,45.2,64.7,35.3,91.2,8.8,70.0,30.0,Playoffs,2002
UTAH STARZZ,5,2,3,42.0,84.0,16.0,64.6,17.1,13.3,9.1,22.1,14.1,47.5,59.8,40.2,81.3,18.8,62.4,37.6,Playoffs,2002
NEW YORK LIBERTY,8,4,4,40.0,75.6,24.4,59.6,10.1,21.8,9.5,18.5,23.2,49.6,56.4,43.6,83.3,16.7,61.7,38.3,Playoffs,2002
INDIANA FEVER,3,1,2,40.0,68.2,31.8,56.6,15.2,28.8,13.1,14.6,18.7,41.4,55.4,44.6,78.9,21.1,61.3,38.7,Playoffs,2002
CHARLOTTE STING,2,0,2,40.0,64.8,35.2,61.2,18.2,29.8,6.6,9.1,25.6,43.0,48.6,51.4,83.3,16.7,57.1,42.9,Playoffs,2002
HOUSTON COMETS,3,1,2,43.3,77.5,22.5,58.9,26.2,21.0,14.0,20.1,20.1,32.7,47.6,52.4,73.3,26.7,52.6,47.4,Playoffs,2002
MINNESOTA LYNX,3,1,2,40.0,74.9,25.1,53.1,12.6,20.3,13.0,26.6,19.3,40.6,72.7,27.3,92.9,7.1,76.8,23.2,Playoffs,2003
LOS ANGELES SPARKS,9,5,4,40.0,78.2,21.8,63.0,14.1,18.3,11.9,18.7,22.3,48.9,67.5,32.5,95.0,5.0,72.0,28.0,Playoffs,2003
DETROIT SHOCK,8,6,2,40.0,80.0,20.0,56.3,18.2,21.5,15.4,22.2,15.6,38.1,63.4,36.6,90.2,9.8,68.8,31.2,Playoffs,2003
CHARLOTTE STING,2,0,2,40.0,72.3,27.7,48.8,9.4,30.7,7.9,20.5,18.1,39.4,51.6,48.4,92.3,7.7,63.6,36.4,Playoffs,2003
CONNECTICUT SUN,4,2,2,40.0,78.3,21.7,66.9,25.0,13.2,11.0,19.9,17.3,41.9,61.5,38.5,75.0,25.0,63.1,36.9,Playoffs,2003
CLEVELAND ROCKERS,3,1,2,40.0,79.8,20.2,56.2,19.7,14.8,11.8,29.1,19.7,36.5,59.6,40.4,80.0,20.0,62.7,37.3,Playoffs,2003
